Carimbo de data/hora,Você conhece o GDE? ,"Se você usa o GDE, quais funcionalidades costuma utilizar com mais frequência?  ",Você acredita que uma versão mobile do GDE te ajudaria no dia a dia? ,Quais funcionalidades você gostaria de ver na versão mobile do GDE? ,  Deseja fazer algum comentário adicional?  
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso, Mapa do campus","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Talvez, dependendo das funcionalidades","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, ajudaria em algumas situações","☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, mas usei poucas vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Calendário de aulas integrado, ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, mas usei poucas vezes","Montar grade horária, Árvore / Integralização","Sim, seria muito útil","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
08/10/2025,"Sim, já usei várias vezes","Montar grade horária, Árvore / Integralização, Avaliação de Professores, Eliminação de disciplinas, Planejador de curso","Sim, ajudaria em algumas situações","☐ As mesmas funções da versão web (ex: montar grade, árvore, planejar curso), ☐ Notificações de eventos importantes (trancamento, matrícula, provas)",
